SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13829,13830,4157,IL-00043,ELWOOD,60421,WILL,IL,"41,812.00","38,812.00","3,000.00","39,400.00","36,400.00","3,000.00"
13829,13830,4157,IL-00043,FAIRFIELD,62837,WAYNE,IL,"10,850.00",0,"10,850.00",0,0,0
13829,13830,4157,IL-00043,FITHIAN,61844,VERMILION,IL,"112,397.00","112,397.00",0,"74,900.00","74,900.00",0
13829,13830,4157,IL-00043,FRANKFORT,60423,WILL,IL,"16,714.00","10,614.00","6,100.00","13,200.00","7,100.00","6,100.00"
13829,13830,4157,IL-00043,GARRETT,61913,DOUGLAS,IL,"114,500.00","100,520.00","13,980.00","91,900.00","81,400.00","10,500.00"
13829,13830,4157,IL-00043,GEORGETOWN,61846,VERMILION,IL,"29,258.00","25,658.00","3,600.00",0,0,0
13829,13830,4157,IL-00043,GIFFORD,61847,CHAMPAIGN,IL,"6,629,845.00","5,408,106.00","1,221,739.00","1,717,300.00","1,382,100.00","335,200.00"
13829,13830,4157,IL-00043,HOYLETON,62803,WASHINGTON,IL,"303,549.00","261,374.00","42,175.00","182,500.00","181,500.00","1,000.00"
13829,13830,4157,IL-00043,MANHATTAN,60442,WILL,IL,"114,992.00","114,592.00",400,"62,600.00","62,200.00",400
13829,13830,4157,IL-00043,METAMORA,61548,WOODFORD,IL,"366,358.00","295,358.00","71,000.00","113,700.00","113,700.00",0
13829,13830,4157,IL-00043,MORRIS,60450,GRUNDY,IL,"47,874.00","47,874.00",0,0,0,0
13829,13830,4157,IL-00043,PEKIN,61554,TAZEWELL,IL,"2,404,558.00","2,036,714.00","367,844.00","1,143,900.00","1,009,900.00","134,000.00"
13829,13830,4157,IL-00043,PENFIELD,61862,CHAMPAIGN,IL,"609,117.00","557,617.00","51,500.00","240,000.00","200,000.00","40,000.00"
13829,13830,4157,IL-00043,PENFIELD,61862,VERMILION,IL,"23,781.00","23,781.00",0,"14,000.00","14,000.00",0
13829,13830,4157,IL-00043,PEOTONE,60468,WILL,IL,"44,594.00","44,594.00",0,"27,300.00","27,300.00",0
13829,13830,4157,IL-00043,RANKIN,60960,VERMILION,IL,"285,425.00","271,768.00","13,657.00",0,0,0
13829,13830,4157,IL-00043,RANTOUL,61866,CHAMPAIGN,IL,"553,795.00","421,145.00","132,650.00","90,300.00","90,300.00",0
13829,13830,4157,IL-00043,SAINT ELMO,62458,FAYETTE,IL,"167,530.00","162,700.00","4,830.00",0,0,0
13829,13830,4157,IL-00043,SHOREWOOD,60404,WILL,IL,"26,671.00","21,101.00","5,570.00",0,0,0
13829,13830,4157,IL-00043,SPRING BAY,61611,WOODFORD,IL,"6,532.00","1,732.00","4,800.00","6,600.00","1,800.00","4,800.00"
13829,13830,4157,IL-00043,TUSCOLA,61953,DOUGLAS,IL,"693,568.00","497,078.00","196,490.00","246,200.00","206,200.00","40,000.00"
13829,13830,4157,IL-00043,WASHINGTON,61571,TAZEWELL,IL,"70,133,204.00","55,296,401.00","14,836,803.00","17,791,300.00","14,162,100.00","3,629,200.00"
13829,13830,4157,IL-00043,WEST LIBERTY,62475,JASPER,IL,"36,827.00","36,527.00",300,"22,100.00","22,100.00",0
